year,zone,wind_cf_mean,solar_cf_mean
2016,punta_arenas_1,0.500020175906117,0.13151664395744767
2016,punta_arenas_2,0.500020175906117,0.13151664395744767
2017,punta_arenas_1,0.538505449255671,0.12870568279430133
2017,punta_arenas_2,0.538505449255671,0.12870568279430133
2018,punta_arenas_1,0.5328329522129764,0.1312174928351007
2018,punta_arenas_2,0.5328329522129764,0.1312174928351007
2019,punta_arenas_1,0.5416092183385725,0.1298138875190524
2019,punta_arenas_2,0.5416092183385725,0.1298138875190524
2020,punta_arenas_1,0.5194614792592802,0.12280156050368822
2020,punta_arenas_2,0.5194614792592802,0.12280156050368822
2021,punta_arenas_1,0.5631115234998401,0.12810945891692477
2021,punta_arenas_2,0.5631115234998401,0.12810945891692477
2022,punta_arenas_1,0.5592192578834382,0.1320890467928956
2022,punta_arenas_2,0.5592192578834382,0.1320890467928956
2023,punta_arenas_1,0.5810497154915951,0.13533368311716468
2023,punta_arenas_2,0.5810497154915951,0.13533368311716468
2024,punta_arenas_1,0.5343924940767121,0.12544982960283818
2024,punta_arenas_2,0.5343924940767121,0.12544982960283818
2025,punta_arenas_1,0.5400148690833342,0.13140526857904045
2025,punta_arenas_2,0.5400148690833342,0.13140526857904045
