year,name,bus0,bus1,carrier,p_nom_mw,p_nom_opt_mw,efficiency
2040,link_punta_arenas_1_to_punta_arenas_2,elec_punta_arenas_1,elec_punta_arenas_2,electricity,1000.0,1000.0,1.0
2040,link_punta_arenas_2_to_punta_arenas_1,elec_punta_arenas_2,elec_punta_arenas_1,electricity,1000.0,1000.0,1.0
2040,h2_electrolyzer_punta_arenas_2,elec_punta_arenas_2,h2_punta_arenas_2,electrolyzer,0.0,0.0,0.7
2040,h2_fuel_cell_punta_arenas_2,h2_punta_arenas_2,elec_punta_arenas_2,h2_fuel_cell,0.0,0.0,0.55
2040,h2_turbine_punta_arenas_2,h2_punta_arenas_2,elec_punta_arenas_2,h2_turbine,0.0,0.0,0.45
2040,uhs_injection_punta_arenas_2,h2_punta_arenas_2,uhs_punta_arenas_2,uhs_injection,0.0,0.0,0.98
2040,uhs_withdrawal_punta_arenas_2,uhs_punta_arenas_2,h2_punta_arenas_2,uhs_withdrawal,0.0,0.0,0.98
2050,link_punta_arenas_1_to_punta_arenas_2,elec_punta_arenas_1,elec_punta_arenas_2,electricity,1000.0,1000.0,1.0
2050,link_punta_arenas_2_to_punta_arenas_1,elec_punta_arenas_2,elec_punta_arenas_1,electricity,1000.0,1000.0,1.0
2050,h2_electrolyzer_punta_arenas_2,elec_punta_arenas_2,h2_punta_arenas_2,electrolyzer,0.0,38.10524487292451,0.7
2050,h2_fuel_cell_punta_arenas_2,h2_punta_arenas_2,elec_punta_arenas_2,h2_fuel_cell,0.0,43.90431744563351,0.55
2050,h2_turbine_punta_arenas_2,h2_punta_arenas_2,elec_punta_arenas_2,h2_turbine,0.0,0.0,0.45
2050,uhs_injection_punta_arenas_2,h2_punta_arenas_2,uhs_punta_arenas_2,uhs_injection,0.0,26.673671411047145,0.98
2050,uhs_withdrawal_punta_arenas_2,uhs_punta_arenas_2,h2_punta_arenas_2,uhs_withdrawal,0.0,44.80032392411584,0.98
